fechaOc,servicio,nombreCliente,titular,noPoliza,assistant,origen,importe,telefono,placa
18/08/2021 04:18:05,GRUA,SEGUROS ATLAS,Burke Barry,31440348 6265,SUEMY,Ap #571-8089 Consequat Av.,"$4,470",556-343-7359,R4B 7I4
14/06/2021 06:13:59,URGENCIAS HOSPITAL,GONER,Uriel Copeland,48628289 9881,CESAR,6643 Penatibus Rd.,"$4,241",557-652-5378,S3W 3L6
20/02/2021 08:57:47,COMBUSTIBLE,MAZDA,Gray Dominguez,03188166 2744,MARISOL,9043 Natoque St.,"$7,422",559-463-3927,A2G 3Z2
23/02/2022 05:45:46,CASETAS,MAZDA,Luke Pollard,74573216 3761,SUSANA,3250 Erat Rd.,"$3,531",556-382-6773,U5O 5A1
18/03/2020 07:12:58,PAGO DIRECTO,GONER,Laith Guy,04469679 2465,EDGAR,Ap #566-1385 Malesuada Rd.,"$4,670",556-388-8492,Q8G 0P8
05/01/2022 10:03:10,CASETAS,MAPFRE SEGUROS,Aurora Delacruz,34268368 2386,TANIA,Ap #108-8000 Fusce Road,"$5,036",552-273-2291,S7F 7S5
18/03/2022 05:15:33,AUXILIO VIAL,MAZDA,Bethany Pickett,89152483 7323,SUEMY,429-5480 Sociis St.,"$7,187",551-722-9576,Y2Q 2L7
27/01/2021 10:43:42,URGENCIAS HOSPITAL,SEGUROS ATLAS,Hedley Estrada,32623259 7023,RIGOBERTO,365-6719 Diam Av.,"$2,280",551-478-5047,K3B 0Q1
01/02/2022 01:24:03,PAGO DIRECTO,GENERAL MOTORS,Sydnee Harvey,70916314 7646,SUSANA,Ap #601-7117 Sit Street,"$4,110",558-247-4620,T8L 2K2
26/03/2021 08:13:09,URGENCIAS HOSPITAL,SEGUROS ATLAS,Justine Aguirre,63234658 5220,RIGOBERTO,"P.O. Box 464, 1548 Ligula. St.","$1,379",557-487-1289,A7O 9Y1
26/05/2021 03:45:11,URGENCIAS HOSPITAL,GENERAL MOTORS,Britanni Kim,71417118 2162,RIGOBERTO,"Ap #843-294 Enim, St.","$5,903",559-642-9264,R6W 3Y2
06/11/2020 10:24:33,GRUA,MAPFRE SEGUROS,Cecilia Sheppard,18432937 5612,EDGAR,Ap #864-2491 Elit Ave,"$9,670",556-283-9358,B6C 6Q5
20/01/2020 05:40:45,AUXILIO VIAL,MAZDA,Chloe Phillips,54342442 8260,SUSANA,961-3891 Pede Ave,$760,554-582-4281,M3Y 6J0
26/08/2021 06:03:53,CASETAS,SEGUROS ATLAS,Avram Bray,79038974 6970,RIGOBERTO,302 Aenean Ave,"$9,532",555-843-3565,C8L 7N6
